State Code,Level,Name,TRU,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
20,STATE,JHARKHAND,Urban,1525412,7933061,4153829,3779232,1021988,535653,486335,832781,776892,5684991,3199788,2485203,2248070,954041,1294029,2321122,1940627,380495,1931755,1671020,260735,34706,28847,5859,41312,32993,8319,55970,41640,14330,1799767,1567540,232227,389367,269607,119760,323025,229122,93903,66342,40485,25857,5611939,2213202,3398737
21,STATE,ODISHA,Total,9637820,41974218,21212136,20762082,5273194,2716497,2556697,7188463,9590756,26742595,15089681,11652914,15231623,6122455,9109168,17541589,11902655,5638934,10707543,8794413,1913130,3279769,2924537,355232,2420540,1746831,673709,441486,315176,126310,4565748,3807869,757879,6834046,3108242,3725804,5597143,2610626,2986517,1236903,497616,739287,24432629,9309481,15123148
21,STATE,ODISHA,Rural,8089987,34970562,17586203,17384359,4525870,2325832,2200038,6218642,8994967,21377915,12154552,9223363,13592647,5431651,8160996,15103714,9941574,5162140,8623947,7045991,1577956,3219409,2869857,349552,2355909,1697973,657936,345719,238211,107508,2702910,2239950,462960,6479767,2895583,3584184,5294257,2426755,2867502,1185510,468828,716682,19866848,7644629,12222219
21,STATE,ODISHA,Urban,1547833,7003656,3625933,3377723,747324,390665,356659,969821,595789,5364680,2935129,2429551,1638976,690804,948172,2437875,1961081,476794,2083596,1748422,335174,60360,54680,5680,64631,48858,15773,95767,76965,18802,1862838,1567919,294919,354279,212659,141620,302886,183871,119015,51393,28788,22605,4565781,1664852,2900929
22,STATE,CHHATTISGARH,Total,5650724,25545198,12832895,12712303,3661689,1859935,1801754,3274269,7822902,15379922,8807893,6572029,10165276,4025002,6140274,12180225,7133866,5046359,8241714,5597454,2644260,3038094,2057774,980320,2505999,1390758,1115241,136696,91724,44972,2560925,2057198,503727,3938511,1536412,2402099,3177960,1256033,1921927,760551,280379,480172,13364973,5699029,7665944
22,STATE,CHHATTISGARH,Rural,4365568,19607961,9797426,9810535,2924941,1479586,1445355,2511949,7231082,11008956,6403012,4605944,8599005,3394414,5204591,10063114,5522258,4540856,6365271,4114031,2251240,2957171,1998073,959098,2392521,1324306,1068215,79777,51647,28130,935802,740005,195797,3697843,1408227,2289616,2983202,1151107,1832095,714641,257120,457521,9544847,4275168,5269679
22,STATE,CHHATTISGARH,Urban,1285156,5937237,3035469,2901768,736748,380349,356399,762320,591820,4370966,2404881,1966085,1566271,630588,935683,2117111,1611608,505503,1876443,1483423,393020,80923,59701,21222,113478,66452,47026,56919,40077,16842,1625123,1317193,307930,240668,128185,112483,194758,104926,89832,45910,23259,22651,3820126,1423861,2396265
23,STATE,MADHYA PRADESH,Total,15093256,72626809,37612306,35014503,10809395,5636172,5173223,11342320,15316784,42851169,25174328,17676841,29775640,12437978,17337662,31574133,20146970,11427163,22702119,16362065,6340054,8214993,6038749,2176244,6630821,4027711,2603110,647565,396320,251245,7208740,5899285,1309455,8872014,3784905,5087109,7309526,3146582,4162944,1562488,638323,924165,41052676,17465336,23587340
23,STATE,MADHYA PRADESH,Rural,11080278,52557404,27149388,25408016,8325731,4329993,3995738,8268002,14276874,28281986,17054982,11227004,24275418,10094406,14181012,24715198,14741977,9973221,16729558,11488183,5241375,7885302,5765124,2120178,6303841,3807102,2496739,348081,198997,149084,2192334,1716960,475374,7985640,3253794,4731846,6563542,2695259,3868283,1422098,558535,863563,27842206,12407411,15434795
23,STATE,MADHYA PRADESH,Urban,4012978,20069405,10462918,9606487,2483664,1306179,1177485,3074318,1039910,14569183,8119346,6449837,5500222,2343572,3156650,6858935,5404993,1453942,5972561,4873882,1098679,329691,273625,56066,326980,220609,106371,299484,197323,102161,5016406,4182325,834081,886374,531111,355263,745984,451323,294661,140390,79788,60602,13210470,5057925,8152545
24,STATE,GUJARAT,Total,12248428,60439692,31491260,28948432,7777262,4115384,3661878,4074447,8917174,41093358,23474873,17618485,19346334,8016387,11329947,24767747,18000914,6766833,20365374,16567695,3797679,4746956,4075047,671909,4491751,3008961,1482790,252213,182101,70112,10874454,9301586,1572868,4402373,1433219,2969154,3930530,1249781,2680749,471843,183438,288405,35671945,13490346,22181599
24,STATE,GUJARAT,Rural,6773558,34694609,17799159,16895450,4824903,2521455,2303448,2281573,8021848,21420842,12467643,8953199,13273767,5331516,7942251,15570092,10171584,5398508,11878120,9141339,2736781,4571337,3919258,652079,4207186,2799674,1407512,116105,88193,27912,2983492,2334214,649278,3691972,1030245,2661727,3304468,894380,2410088,387504,135865,251639,19124517,7627575,11496942
24,STATE,GUJARAT,Urban,5474870,25745083,13692101,12052982,2952359,1593929,1358430,1792874,895326,19672516,11007230,8665286,6072567,2684871,3387696,9197655,7829330,1368325,8487254,7426356,1060898,175619,155789,19830,284565,209287,75278,136108,93908,42200,7890962,6967372,923590,710401,402974,307427,626062,355401,270661,84339,47573,36766,16547428,5862771,10684657
25,STATE,DAMAN & DIU,Total,60956,243247,150301,92946,26934,14144,12790,6124,15363,188406,124643,63763,54841,25658,29183,121271,107434,13837,116435,104614,11821,1649,1300,349,491,272,219,380,295,85,113915,102747,11168,4836,2820,2016,3575,1923,1652,1261,897,364,121976,42867,79109
25,STATE,DAMAN & DIU,Rural,12744,60396,32395,28001,7438,3849,3589,2167,7617,43089,25529,17560,17307,6866,10441,23303,18862,4441,21435,18131,3304,1053,777,276,321,134,187,119,94,25,19942,17126,2816,1868,731,1137,1499,561,938,369,170,199,37093,13533,23560
25,STATE,DAMAN & DIU,Urban,48212,182851,117906,64945,19496,10295,9201,3957,7746,145317,99114,46203,37534,18792,18742,97968,88572,9396,95000,86483,8517,596,523,73,170,138,32,261,201,60,93973,85621,8352,2968,2089,879,2076,1362,714,892,727,165,84883,29334,55549
26,STATE,DADRA & NAGAR HAVELI,Total,76458,343709,193760,149949,50895,26431,24464,6186,178564,223230,142521,80709,120479,51239,69240,157161,119293,37868,130299,109125,21174,22707,16486,6221,6184,3119,3065,1566,1151,415,99842,88369,11473,26862,10168,16694,22915,8364,14551,3947,1804,2143,186548,74467,112081
26,STATE,DADRA & NAGAR HAVELI,Rural,36094,183114,98305,84809,28504,14467,14037,1296,150944,99142,64050,35092,83972,34255,49717,84123,55803,28320,62211,48239,13972,21050,15098,5952,5456,2673,2783,977,694,283,34728,29774,4954,21912,7564,14348,18506,6115,12391,3406,1449,1957,98991,42502,56489
26,STATE,DADRA & NAGAR HAVELI,Urban,40364,160595,95455,65140,22391,11964,10427,4890,27620,124088,78471,45617,36507,16984,19523,73038,63490,9548,68088,60886,7202,1657,1388,269,728,446,282,589,457,132,65114,58595,6519,4950,2604,2346,4409,2249,2160,541,355,186,87557,31965,55592
27,STATE,MAHARASHTRA,Total,24421519,112374333,58243056,54131277,13326517,7035391,6291126,13275898,10510213,81554290,45257584,36296706,30820043,12985472,17834571,49427878,32616875,16811003,43762890,29989314,13773576,11478075,7181136,4296939,11068928,5846810,5222118,991310,606540,384770,20224577,16354828,3869749,5664988,2627561,3037427,4828248,2239979,2588269,836740,387582,449158,62946455,25626181,37320274
27,STATE,MAHARASHTRA,Rural,13214738,61556074,31539034,30017040,7688954,4067399,3621555,7494819,9006077,41482761,23391475,18091286,20073313,8147559,11925754,30650871,17887071,12763800,26510066,16188697,10321369,11170114,6938469,4231645,10449281,5451250,4998031,444965,264175,180790,4445706,3534803,910903,4140805,1698374,2442431,3521064,1442501,2078563,619741,255873,363868,30905203,13651963,17253240
27,STATE,MAHARASHTRA,Urban,11206781,50818259,26704022,24114237,5637563,2967992,2669571,5781079,1504136,40071529,21866109,18205420,10746730,4837913,5908817,18777007,14729804,4047203,17252824,13800617,3452207,307961,242667,65294,619647,395560,224087,546345,342365,203980,15778871,12820025,2958846,1524183,929187,594996,1307184,797478,509706,216999,131709,85290,32041252,11974218,20067034
28,STATE,ANDHRA PRADESH,Total,21022588,84580777,42442146,42138631,9142802,4714950,4427852,13878078,5918073,50556760,28251243,22305517,34024017,14190903,19833114,39422906,24185595,15237311,33037378,21460081,11577297,6087607,4183319,1904288,13201989,6787204,6414785,1164314,549534,614780,12583468,9940024,2643444,6385528,2725514,3660014,5547424,2378533,3168891,838104,346981,491123,45157871,18256551,26901320
28,STATE,ANDHRA PRADESH,Rural,14234387,56361702,28243241,28118461,6152022,3169288,2982734,10846333,5232129,30351065,17395600,12955465,26010637,10847641,15162996,29052307,16498189,12554118,24142968,14585917,9557051,5902131,4038316,1863815,12538929,6401648,6137281,741614,312226,429388,4960294,3833727,1126567,4909339,1912272,2997067,4245503,1663176,2582327,663836,249096,414740,27309395,11745052,15564343
28,STATE,ANDHRA PRADESH,Urban,6788201,28219075,14198905,14020170,2990780,1545662,1445118,3031745,685944,20205695,10855643,9350052,8013380,3343262,4670118,10370599,7687406,2683193,8894410,6874164,2020246,185476,145003,40473,663060,385556,277504,422700,237308,185392,7623174,6106297,1516877,1476189,813242,662947,1301921,715357,586564,174268,97885,76383,17848476,6511499,11336977
29,STATE,KARNATAKA,Total,13357027,61095297,30966657,30128640,7161033,3675291,3485742,10474992,4248987,40647322,22508471,18138851,20447975,8458186,11989789,27872597,18270116,9602481,23397181,16349837,7047344,6038309,4568505,1469804,5119921,2609098,2510823,695841,353513,342328,11543110,8818721,2724389,4475416,1920279,2555137,3931647,1668094,2263553,543769,252185,291584,33222700,12696541,20526159
29,STATE,KARNATAKA,Rural,7946657,37469335,18929354,18539981,4517645,2317069,2200576,7495763,3429791,22649176,12893437,9755739,14820159,6035917,8784242,18502230,11311426,7190804,15060905,10003021,5057884,5824702,4394613,1430089,4795763,2415657,2380106,378691,178311,200380,4061749,3014440,1047309,3441325,1308405,2132920,3036548,1140372,1896176,404777,168033,236744,18967105,7617928,11349177
29,STATE,KARNATAKA,Urban,5410370,23625962,12037303,11588659,2643388,1358222,1285166,2979229,819196,17998146,9615034,8383112,5627816,2422269,3205547,9370367,6958690,2411677,8336276,6346816,1989460,213607,173892,39715,324158,193441,130717,317150,175202,141948,7481361,5804281,1677080,1034091,611874,422217,895099,527722,367377,138992,84152,54840,14255595,5078613,9176982
30,STATE,GOA,Total,343611,1458545,739140,719405,144611,74460,70151,25449,149275,1165487,615823,549664,293058,123317,169741,577248,419536,157712,476053,356967,119086,24062,14866,9196,10758,6532,4226,10780,7951,2829,430453,327618,102835,101195,62569,38626,80846,50303,30543,20349,12266,8083,881297,319604,561693
30,STATE,GOA,Rural,128208,551731,275436,276295,54014,27772,26242,9461,87639,431271,227143,204128,120460,48293,72167,215536,152986,62550,164519,122042,42477,20546,12353,8193,8024,4704,3320,4284,3264,1020,131665,101721,29944,51017,30944,20073,38957,24120,14837,12060,6824,5236,336195,122450,213745
