State Code,Level,Name,TRU,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
00,India,India,Total,249454252,1210569573,623121843,587447730,164478150,85732470,78745680,201378086,104281034,763498517,434683779,328814738,447071056,188438064,258632992,481743311,331865930,149877381,362446420,273149359,89297061,95841357,73018105,22823252,86166871,55254927,30911944,12331464,7540121,4791343,168106728,137336206,30770522,119296891,58716571,60580320,97044107,48579387,48464720,22252784,10137184,12115600,728826262,291255913,437570349
00,India,India,Rural,168565486,833463448,427632643,405830805,121285762,63064665,58221097,153850562,93819162,482653540,281281531,201372009,350809908,146351112,204458796,348597535,226763068,121834467,245749270,178034713,67714557,92737696,70469851,22267845,80958300,51639066,29319234,7244556,4170353,3074203,64808718,51755443,13053275,102848265,48728355,54119910,83031670,40034385,42997285,19816595,8693970,11122625,484865913,200869575,283996338
00,India,India,Urban,80888766,377106125,195489200,181616925,43192388,22667805,20524583,47527524,10461872,280844977,153402248,127442729,96261148,42086952,54174196,133145776,105102862,28042914,116697150,95114646,21582504,3103661,2548254,555407,5208571,3615861,1592710,5086908,3369768,1717140,103298010,85580763,17717247,16448626,9988216,6460410,14012437,8545002,5467435,2436189,1443214,992975,243960349,90386338,153574011
01,STATE,JAMMU & KASHMIR,Total,2119718,12541302,6640662,5900640,2018905,1084355,934550,924991,1493299,7067233,4264671,2802562,5474069,2375991,3098078,4322713,3195090,1127623,2644149,2305788,338361,566469,486417,80052,159519,143071,16448,78826,58514,20312,1839335,1617786,221549,1678564,889302,789262,1201567,675679,525888,476997,213623,263374,8218589,3445572,4773017
01,STATE,JAMMU & KASHMIR,Rural,1553433,9108060,4774477,4333583,1593008,854141,738867,751026,1406833,4747950,2891749,1856201,4360110,1882728,2477382,3113081,2212006,901075,1669814,1453157,216657,541316,464699,76617,141304,126405,14899,57248,41833,15415,929946,820220,109726,1443267,758849,684418,1013949,566924,447025,429318,191925,237393,5994979,2562471,3432508
01,STATE,JAMMU & KASHMIR,Urban,566285,3433242,1866185,1567057,425897,230214,195683,173965,86466,2319283,1372922,946361,1113959,493263,620696,1209632,983084,226548,974335,852631,121704,25153,21718,3435,18215,16666,1549,21578,16681,4897,909389,797566,111823,235297,130453,104844,187618,108755,78863,47679,21698,25981,2223610,883101,1340509
02,STATE,HIMACHAL PRADESH,Total,1483280,6864602,3481873,3382729,777898,407459,370439,1729252,392126,5039736,2752590,2287146,1824866,729283,1095583,3559422,2043373,1516049,2062501,1438989,623512,919786,514927,404859,68668,46235,22433,32691,24576,8115,1041356,853251,188105,1496921,604384,892537,1025060,417179,607881,471861,187205,284656,3305180,1438500,1866680
02,STATE,HIMACHAL PRADESH,Rural,1312510,6176050,3110345,3065705,712822,372854,339968,1606535,374392,4471736,2437821,2033915,1704314,672524,1031790,3289384,1836358,1453026,1822109,1247874,574235,914201,510886,403315,66318,44463,21855,27502,20466,7036,814088,672059,142029,1467275,588484,878791,1001552,404162,597390,465723,184322,281401,2886666,1273987,1612679
02,STATE,HIMACHAL PRADESH,Urban,170770,688552,371528,317024,65076,34605,30471,122717,17734,568000,314769,253231,120552,56759,63793,270038,207015,63023,240392,191115,49277,5585,4041,1544,2350,1772,578,5189,4110,1079,227268,181192,46076,29646,15900,13746,23508,13017,10491,6138,2883,3255,418514,164513,254001
03,STATE,PUNJAB,Total,5513071,27743338,14639465,13103873,3076219,1665994,1410225,8860179,0,18707137,10436056,8271081,9036201,4203409,4832792,9897362,8074157,1823205,8450936,7264631,1186305,1803860,1691777,112083,1168021,1013979,154042,300660,215971,84689,5178395,4342904,835491,1446426,809526,636900,1150415,661526,488889,296011,148000,148011,17845976,6565308,11280668
03,STATE,PUNJAB,Rural,3358113,17344192,9093476,8250716,1945502,1055297,890205,6496986,0,10997657,6158807,4838850,6346535,2934669,3411866,6179199,4995819,1183380,5107024,4417839,689185,1719356,1613978,105378,1078849,936572,142277,172769,114354,58415,2136050,1752935,383115,1072175,577980,494195,822598,461224,361374,249577,116756,132821,11164993,4097657,7067336
03,STATE,PUNJAB,Urban,2154958,10399146,5545989,4853157,1130717,610697,520020,2363193,0,7709480,4277249,3432231,2689666,1268740,1420926,3718163,3078338,639825,3343912,2846792,497120,84504,77799,6705,89172,77407,11765,127891,101617,26274,3042345,2589969,452376,374251,231546,142705,327817,200302,127515,46434,31244,15190,6680983,2467651,4213332
04,STATE,CHANDIGARH,Total,241173,1055450,580663,474787,119434,63536,55898,199086,0,805438,465346,340092,250012,115317,134695,404136,328159,75977,385929,317190,68739,2169,1906,263,1396,1166,230,4219,3278,941,378145,310840,67305,18207,10969,7238,15188,9057,6131,3019,1912,1107,651314,252504,398810
04,STATE,CHANDIGARH,Rural,7140,28991,17150,11841,4270,2282,1988,4974,0,19961,12752,7209,9030,4398,4632,12350,10664,1686,11683,10356,1327,401,378,23,138,113,25,105,74,31,11039,9791,1248,667,308,359,470,209,261,197,99,98,16641,6486,10155
04,STATE,CHANDIGARH,Urban,234033,1026459,563513,462946,115164,61254,53910,194112,0,785477,452594,332883,240982,110919,130063,391786,317495,74291,374246,306834,67412,1768,1528,240,1258,1053,205,4114,3204,910,367106,301049,66057,17540,10661,6879,14718,8848,5870,2822,1813,1009,634673,246018,388655
05,STATE,UTTARAKHAND,Total,2056975,10086292,5137773,4948519,1355814,717199,638615,1892516,291903,6880953,3863708,3017245,3205339,1274065,1931274,3872275,2551921,1320354,2870624,2070760,799864,1045674,545561,500113,247256,196375,50881,77040,54101,22939,1500654,1274723,225931,1001651,481161,520490,756840,373473,383367,244811,107688,137123,6214017,2585852,3628165
05,STATE,UTTARAKHAND,Rural,1425086,7036954,3519042,3517912,990776,521792,468984,1496665,264819,4614050,2596171,2017879,2422904,922871,1500033,2885533,1726674,1158859,1997332,1322523,674809,1027923,532558,495365,225529,177948,47581,46685,30064,16621,697195,581953,115242,888201,404151,484050,658831,306695,352136,229370,97456,131914,4151421,1792368,2359053
05,STATE,UTTARAKHAND,Urban,631889,3049338,1618731,1430607,365038,195407,169631,395851,27084,2266903,1267537,999366,782435,351194,431241,986742,825247,161495,873292,748237,125055,17751,13003,4748,21727,18427,3300,30355,24037,6318,803459,692770,110689,113450,77010,36440,98009,66778,31231,15441,10232,5209,2062596,793484,1269112
06,STATE,HARYANA,Total,4857524,25351462,13494734,11856728,3380721,1843109,1537612,5113615,0,16598988,9794067,6804921,8752474,3700667,5051807,8916508,6806636,2109872,7015283,5860600,1154683,1963311,1632783,330528,891273,718444,172829,201375,159666,41709,3959324,3349707,609617,1901225,946036,955189,1510526,769060,741466,390699,176976,213723,16434954,6688098,9746856
06,STATE,HARYANA,Rural,3043756,16509359,8774006,7735353,2285112,1245090,1040022,3720109,0,10158442,6140099,4018343,6350917,2633907,3717010,6003112,4392214,1610898,4435805,3672588,763217,1893233,1571194,322039,808001,647625,160376,89013,64257,24756,1645558,1389512,256046,1567307,719626,847681,1229441,579576,649865,337866,140050,197816,10506247,4381792,6124455
06,STATE,HARYANA,Urban,1813768,8842103,4720728,4121375,1095609,598019,497590,1393506,0,6440546,3653968,2786578,2401557,1066760,1334797,2913396,2414422,498974,2579478,2188012,391466,70078,61589,8489,83272,70819,12453,112362,95409,16953,2313766,1960195,353571,333918,226410,107508,281085,189484,91601,52833,36926,15907,5928707,2306306,3622401
07,STATE,NCT OF DELHI,Total,3435999,16787941,8987326,7800615,2012454,1075440,937014,2812309,0,12737767,7194856,5542911,4050174,1792470,2257704,5587049,4762026,825023,5307329,4562710,744619,27759,24225,3534,31474,25632,5842,169126,146069,23057,5078970,4366784,712186,279720,199316,80404,235250,166929,68321,44470,32387,12083,11200892,4225300,6975592
07,STATE,NCT OF DELHI,Rural,79574,419042,226321,192721,56716,31259,25457,82183,0,296600,174327,122273,122442,51994,70448,130227,111500,18727,118510,103568,14942,11842,10357,1485,6123,4835,1288,2660,2094,566,97885,86282,11603,11717,7932,3785,9599,6426,3173,2118,1506,612,288815,114821,173994
07,STATE,NCT OF DELHI,Urban,3356425,16368899,8761005,7607894,1955738,1044181,911557,2730126,0,12441167,7020529,5420638,3927732,1740476,2187256,5456822,4650526,806296,5188819,4459142,729677,15917,13868,2049,25351,20797,4554,166466,143975,22491,4981085,4280502,700583,268003,191384,76619,225651,160503,65148,42352,30881,11471,10912077,4110479,6801598
08,STATE,RAJASTHAN,Total,12711146,68548437,35550997,32997440,10649504,5639176,5010328,12221593,9238534,38275282,23688412,14586870,30273155,11862585,18410570,29886255,18297076,11589179,21057968,15243537,5814431,9845353,6365757,3479596,2195304,1281039,914265,503067,360510,142557,8514244,7236231,1278013,8828287,3053539,5774748,7015250,2406685,4608565,1813037,646854,1166183,38662182,17253921,21408261
08,STATE,RAJASTHAN,Rural,9494903,51500352,26641747,24858605,8414883,4446599,3968284,9536963,8693123,26471786,16904589,9567197,25028566,9737158,15291408,24385233,13775469,10609764,16173343,11069837,5103506,9632800,6213533,3419267,2072869,1192814,880055,275153,190152,85001,4192521,3473338,719183,8211890,2705632,5506258,6491836,2104692,4387144,1720054,600940,1119114,27115119,12866278,14248841
08,STATE,RAJASTHAN,Urban,3216243,17048085,8909250,8138835,2234621,1192577,1042044,2684630,545411,11803496,6783823,5019673,5244589,2125427,3119162,5501022,4521607,979415,4884625,4173700,710925,212553,152224,60329,122435,88225,34210,227914,170358,57556,4321723,3762893,558830,616397,347907,268490,523414,301993,221421,92983,45914,47069,11547063,4387643,7159420
09,STATE,UTTAR PRADESH,Total,33448035,199812341,104480510,95331831,30791331,16185581,14605750,41357608,1134273,114397555,68234964,46162591,85414786,36245546,49169240,65814715,49846762,15967953,44635492,37420299,7215193,15576415,13727429,1848986,9749915,7777577,1972338,2409436,1669471,739965,16899726,14245822,2653904,21179223,12426463,8752760,16885149,10156804,6728345,4294074,2269659,2024415,133997626,54633748,79363878
09,STATE,UTTAR PRADESH,Rural,25685942,155317278,80992995,74324283,25040583,13135595,11904988,35685227,1031076,85284680,51793688,33490992,70032598,29199307,40833291,51950980,38352879,13598101,33538817,27812347,5726470,15103331,13299811,1803520,9094209,7205459,1888750,1485130,962736,522394,7856147,6344341,1511806,18412163,10540532,7871631,14491868,8531773,5960095,3920295,2008759,1911536,103366298,42640116,60726182
09,STATE,UTTAR PRADESH,Urban,7762093,44495063,23487515,21007548,5750748,3049986,2700762,5672381,103197,29112875,16441276,12671599,15382188,7046239,8335949,13863735,11493883,2369852,11096675,9607952,1488723,473084,427618,45466,655706,572118,83588,924306,706735,217571,9043579,7901481,1142098,2767060,1885931,881129,2393281,1625031,768250,373779,260900,112879,30631328,11993632,18637696
10,STATE,BIHAR,Total,18913565,104099452,54278157,49821295,19133964,9887239,9246725,16567325,1336573,52504553,31608023,20896530,51594899,22670134,28924765,34724987,25222189,9502798,21359611,17270690,4088921,5413181,4688683,724498,9537418,7373292,2164126,779576,488797,290779,5629436,4719918,909518,13365376,7951499,5413877,10922864,6728476,4194388,2442512,1223023,1219489,69374465,29055968,40318497
10,STATE,BIHAR,Rural,16862940,92341436,48073850,44267586,17383701,8971671,8412030,15344215,1270851,44812152,27241830,17570322,47529284,20832020,26697264,31359767,22436685,8923082,18723966,14988080,3735886,5261564,4551866,709698,9225709,7113170,2112539,624910,371674,253236,3611783,2951370,660413,12635801,7448605,5187196,10297303,6292958,4004345,2338498,1155647,1182851,60981669,25637165,35344504
10,STATE,BIHAR,Urban,2050625,11758016,6204307,5553709,1750263,915568,834695,1223110,65722,7692401,4366193,3326208,4065615,1838114,2227501,3365220,2785504,579716,2635645,2282610,353035,151617,136817,14800,311709,260122,51587,154666,117123,37543,2017653,1768548,249105,729575,502894,226681,625561,435518,190043,104014,67376,36638,8392796,3418803,4973993
11,STATE,SIKKIM,Total,129006,610577,323070,287507,64111,32761,31350,28275,206360,444952,251269,193683,165625,71801,93824,308138,194358,113780,230397,160513,69884,82707,50586,32121,11582,7145,4437,2888,2056,832,133220,100726,32494,77741,33845,43896,54465,23668,30797,23276,10177,13099,302439,128712,173727
11,STATE,SIKKIM,Rural,93288,456999,242797,214202,49218,25061,24157,20335,167146,321930,184245,137685,135069,58552,76517,243785,148186,95599,173682,119014,54668,82111,50224,31887,11154,6858,4296,2155,1474,681,78262,60458,17804,70103,29172,40931,48012,19719,28293,22091,9453,12638,213214,94611,118603
11,STATE,SIKKIM,Urban,35718,153578,80273,73305,14893,7700,7193,7940,39214,123022,67024,55998,30556,13249,17307,64353,46172,18181,56715,41499,15216,596,362,234,428,287,141,733,582,151,54958,40268,14690,7638,4673,2965,6453,3949,2504,1185,724,461,89225,34101,55124
12,STATE,ARUNACHAL PRADESH,Total,270577,1383727,713912,669815,212188,107624,104564,0,951821,766005,439868,326137,617722,274044,343678,587657,350273,237384,478721,301109,177612,248120,130008,118112,20259,11921,8338,4728,2772,1956,205614,156408,49206,108936,49164,59772,89305,40342,48963,19631,8822,10809,796070,363639,432431
12,STATE,ARUNACHAL PRADESH,Rural,200210,1066358,546011,520347,172289,87241,85048,0,789846,535902,309390,226512,530456,236621,293835,470315,264790,205525,377388,223929,153459,244637,127925,116712,18776,10997,7779,3371,1929,1442,110604,83078,27526,92927,40861,52066,75099,33075,42024,17828,7786,10042,596043,281221,314822
12,STATE,ARUNACHAL PRADESH,Urban,70367,317369,167901,149468,39899,20383,19516,0,161975,230103,130478,99625,87266,37423,49843,117342,85483,31859,101333,77180,24153,3483,2083,1400,1483,924,559,1357,843,514,95010,73330,21680,16009,8303,7706,14206,7267,6939,1803,1036,767,200027,82418,117609
13,STATE,NAGALAND,Total,396002,1978502,1024649,953853,291071,149785,141286,0,1710973,1342434,723957,618477,636068,300692,335376,974122,547357,426765,741179,442204,298975,420379,208221,212158,22571,12899,9672,9525,4731,4794,288704,216353,72351,232943,105153,127790,141978,61126,80852,90965,44027,46938,1004380,477292,527088
13,STATE,NAGALAND,Rural,277491,1407536,725472,682064,217482,112483,104999,0,1306838,896663,484021,412642,510873,241451,269422,760360,403912,356448,567674,316384,251290,408523,202643,205880,19970,11260,8710,6588,3055,3533,132593,99426,33167,192686,87528,105158,111318,47710,63608,81368,39818,41550,647176,321560,325616
13,STATE,NAGALAND,Urban,118511,570966,299177,271789,73589,37302,36287,0,404135,445771,239936,205835,125195,59241,65954,213762,143445,70317,173505,125820,47685,11856,5578,6278,2601,1639,962,2937,1676,1261,156111,116927,39184,40257,17625,22632,30660,13416,17244,9597,4209,5388,357204,155732,201472
14,STATE,MANIPUR,Total,510448,2570390,1290171,1280219,338254,174700,163554,97042,902740,1768181,960015,808166,802209,330156,472053,1159053,665463,493590,855012,554518,300494,365712,232130,133582,43774,23603,20171,44586,13362,31224,400940,285423,115517,304041,110945,193096,239890,88390,151500,64151,22555,41596,1411337,624708,786629
14,STATE,MANIPUR,Rural,338109,1736236,878469,857767,236843,122659,114184,47563,791126,1142564,630291,512273,593672,248178,345494,813604,460140,353464,594331,381865,212466,327425,203897,123528,34373,18204,16169,27069,7820,19249,205464,151944,53520,219273,78275,140998,172232,61606,110626,47041,16669,30372,922632,418329,504303
14,STATE,MANIPUR,Urban,172339,834154,411702,422452,101411,52041,49370,49479,111614,625617,329724,295893,208537,81978,126559,345449,205323,140126,260681,172653,88028,38287,28233,10054,9401,5399,4002,17517,5542,11975,195476,133479,61997,84768,32670,52098,67658,26784,40874,17110,5886,11224,488705,206379,282326
15,STATE,MIZORAM,Total,222853,1097206,555339,541867,168531,85561,82970,1218,1036115,848175,438529,409646,249031,116810,132221,486705,290740,195965,415030,263305,151725,202514,121598,80916,26464,16601,9863,5459,3109,2350,180593,121997,58596,71675,27435,44240,53724,19626,34098,17951,7809,10142,610501,264599,345902
15,STATE,MIZORAM,Rural,105812,525435,269135,256300,93384,47489,45895,298,507467,363334,195400,167934,162101,73735,88366,252382,145091,107291,217824,134888,82936,170274,101909,68365,12448,7572,4876,1556,999,557,33546,24408,9138,34558,10203,24355,25143,6745,18398,9415,3458,5957,273053,124044,149009
